"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0001819","positive regulation of cytokine production","159/1012","489/18614",1.75476193101182e-81,1.02583382486951e-77,4.60301761271732e-78,"CD4/INS/APP/TXK/TLR4/IL1B/IL2/IL6/IL10/TNF/LTA/CSF2/NLRP3/PYCARD/LEP/CD28/AGT/IL12B/MIR17/IFNL1/IFNG/PTPN22/KIT/IL4/IL17A/TGFB1/ADIPOQ/HIF1A/TLR2/CD274/IFIH1/EBI3/ZFPM1/IDO1/C3/MIR21/ADAM17/STAT1/PIK3R1/HGF/SIRT1/TREM2/EGR1/IL18/IL1A/FCGR3A/CD80/CCL3/AIF1/CCL19/CASP1/ADRA2A/FURIN/IL7/IL15/TMED10/CCR7/EREG/IL13/LBP/MMP8/APOA2/PF4/SERPINF2/NOD2/CD40LG/CD74/MAPK14/TRAF2/MIR145/ELANE/TNFRSF8/MIR132/SERPINE1/PTPRC/CD34/CASP8/FOXP3/CHI3L1/C5AR1/RUNX1/MEFV/CD200/KLRK1/CX3CL1/STAT3/MBP/RIGI/TLR3/TLR7/TLR8/TLR1/TLR5/TLR6/NOD1/HLA-A/IL16/CD86/BTK/SRC/IL21/SOD1/CCL1/ANXA1/MMP12/IRF3/IL33/IL23A/SAA1/ABCC8/AGER/MIF/TBX21/HAVCR2/IL6R/FLT4/TYK2/IL27/PTGS2/IL17D/HMGB1/TIGIT/LGALS9/AIM2/CGAS/STING1/CD14/CLEC7A/SYK/TLR9/CHIA/F2RL1/SPHK1/F3/NOS2/B2M/CD81/IRF1/OAS1/CD46/P2RX7/DDIT3/SMAD3/HRAS/TSLP/CLEC9A/CSF1R/TWIST1/CD244/CYBB/OSM/IFI16/PELI1/DHX58/FCN1/RAB1A/ISG15/GSDMD/C5",159
"BP","GO:0050900","leukocyte migration","132/1012","393/18614",2.67131766692901e-69,7.80826154043349e-66,3.50364401367742e-66,"APP/IL1B/IL6/CXCL8/IL10/TNF/VEGFA/PYCARD/LEP/CSF1/KITLG/ADA/DPP4/KIT/NF1/RET/GAS6/IL4/CXCL10/CCL2/IL17A/VCAM1/SELE/ICAM1/ADAM17/MMP2/PIK3R1/TREM2/CXCR4/IL1A/CCL11/DNM1L/CCL18/CCL4/RARRES2/CXCL9/CCL3/AIF1/CCL19/SFTPD/CCR7/S100A8/S100A9/LBP/BSG/PF4/PECAM1/NOD2/CD74/TNFSF11/SELP/ELANE/EDN1/RHOA/CCL5/SERPINE1/THY1/CD34/F11R/TNFRSF18/C5AR1/CALCA/SELPLG/CXCL16/CXCR2/CD200/KLRK1/CD47/FLT1/CCR5/CX3CR1/CX3CL1/F7/CCL21/IL16/ITGB1/PTK2/SRC/AKT1/ITGB2/ITGA2/ALOX5/CCL26/CXCL12/TAFA4/CCL1/ANXA1/IL33/IL23A/CXCL11/SAA1/AGER/MIF/S100A12/TBX21/MIR146A/IL6R/DOCK8/VEGFD/PRTN3/CXCR5/CXCR3/CCR6/HMGB1/SELL/LGALS3/LGALS9/CD9/ARTN/SYK/F2RL1/ITGAL/LYST/CD81/MCU/SLC8B1/MSN/ADAM10/CCL23/CD200R1/CXCL1/GP1BA/CSF1R/RIPK3/CCL17/ITGB7/IRAK4/PLA2G7/CCL20/CCL28/C5/CTSG",132
"BP","GO:0050727","regulation of inflammatory response","132/1012","414/18614",3.87475610588992e-66,7.55060806501083e-63,3.38803235644831e-63,"INS/APP/TLR4/IL1B/IL2/IL6/IL10/TNF/LTA/NLRP3/PYCARD/TNFRSF1A/CD28/SNCA/ACE2/AGT/IL12B/NFKB1/APOE/ADA/NLRP4/IFNG/FCGR1A/TYRO3/IL4/ADIPOQ/TLR2/MIR195/CDH5/IDO1/GPX4/C3/SELE/MIR21/IGF1/MMP9/HGF/FABP4/TREM2/PPARG/IL18/GGT1/CCL3/CASP1/GPX1/FURIN/IL15/CCR7/S100A8/S100A9/IL13/LBP/APOA1/MMP3/MMP8/NOD2/PTGIS/TNFSF11/ACE/MAPK14/MIR145/MIR20A/ELANE/CCL5/SERPINE1/NT5E/PTPRC/SOCS3/FOXP3/MEFV/CD200/CD47/TEK/CX3CL1/MIR126/TLR3/TLR7/HLA-DRB1/IL16/BTK/SRC/IL21/ITGA2/ALOX5/SOD1/CCL1/ANXA1/IL2RA/IRF3/IL33/IL23A/SAA1/AGER/S100A12/MIR146A/MIR31/ATM/NCF1/ELF4/AGTR1/PTGS2/HAMP/LGALS1/PROC/AIM2/STING1/CASP4/SYK/TLR9/GSTP1/MIR221/SPHK1/NEAT1/GRN/CD81/CLOCK/SMAD3/CD200R1/PLA2G2A/TSLP/FCGR2B/APCS/BCL6/PPARA/PLA2G10/XIAP/OSM/ZBP1/PLA2G7/CST7/RB1/IL37",132
"BP","GO:0019221","cytokine-mediated signaling pathway","143/1012","492/18614",7.58802258283019e-66,1.10898950048063e-62,4.97614533589811e-63,"CD4/FAS/TXK/IL1B/IL6/CXCL8/TNF/EPO/CSF2/PYCARD/IL1RN/LEP/TNFRSF1A/IL12B/CSF1/IFNL1/IFNG/IFNA2/IFNA1/KIT/GAS6/AXL/CXCL10/CCL2/IL17A/ADIPOQ/HIF1A/IFNL2/IFNL3/IFNA21/EBI3/CSF3/MIR21/ADAM17/LIFR/STAT1/IL10RB/SIRT1/TREM2/PPARG/EGR1/IL18/KRT18/CXCR4/SMAD4/IL1A/CCL11/CCL18/ANGPT1/CCL4/CXCL9/CCL3/CCL19/CASP1/IFNB1/IL7/IL15RA/IL15/CCR7/EREG/IL5/MX1/APOA1/PF4/CD74/TNFSF11/TRAF2/EDN1/MIR34A/CCL5/PTPRC/CD70/CASP8/TNFRSF18/CXCR6/CXCR2/CCR5/CX3CR1/CX3CL1/STAT3/CCL21/JAK1/NR1H2/SRC/AKT1/HPX/NOTCH1/CCL26/CXCL12/CCL1/MMP12/IL2RA/IRF3/IL33/CXCL11/CD44/NUMBL/MIR146A/IL6R/IFITM3/TYK2/TP53/CXCR5/CXCR3/CCR4/CCR6/YAP1/CAV1/AIM2/STING1/CASP4/SYK/CCR3/F2RL1/GSTP1/SPHK1/IRF1/OAS1/IFNAR1/IL2RB/CCL23/CXCL1/IFNA17/TSLP/CSF1R/CCR9/IFNAR2/SOCS1/CCL17/ACSL1/XIAP/OSM/IRAK4/ZBP1/IFITM2/ISG15/IL7R/CCL20/IFNGR2/TNFRSF25/CTSG/IL37/IL1F10",143
"BP","GO:0007159","leukocyte cell-cell adhesion","125/1012","415/18614",2.24177317614404e-59,2.62108119754762e-56,1.17610500104231e-56,"CD4/IL1B/IL2/IL6/IL10/TNF/EPO/NLRP3/PYCARD/LEP/CD28/IL12B/KITLG/ADA/DPP4/IFNL1/IFNG/IFNA2/CTLA4/PTPN22/IL4/CCL2/CD274/VCAM1/EBI3/IDO1/SELE/MIR21/ICAM1/IGF1/IL18/IL1A/CD80/AIF1/CCL19/SFTPD/IFNB1/IL7/IL15/CCR7/S100A8/S100A9/ASS1/PECAM1/NOD2/CD40LG/CD74/HLA-DRA/TNFSF11/SELP/ELANE/RHOA/CCL5/NT5E/THY1/PTPRC/CD27/CD70/F11R/CASP3/FOXP3/RUNX1/SELPLG/KLRK1/CD47/CX3CR1/CCL21/HLA-A/HLA-DRB1/CD86/ITGB1/SRC/AKT1/IL21/ITGB2/ALOX5/CXCL12/ANXA1/IL2RA/IL23A/AGER/TBX21/CD44/LAG3/HAVCR2/MIR146A/MIR31/DOCK8/HLA-DQA1/TYK2/HMGB1/CAV1/SELL/TIGIT/LGALS1/LGALS3/LGALS9/PDCD1LG2/PRNP/SYK/MIR221/ITGAL/AP3B1/B2M/CD81/IRF1/MSN/CD46/PLA2G2A/FCGR2B/GP1BA/ICOSLG/BCL6/SOCS1/ERBB2/ITCH/ITGB7/PPARA/HLA-DOB/PELI1/IL7R/HLA-DQB1/CCL28/CTSG/PDE5A",125
"BP","GO:0002237","response to molecule of bacterial origin","117/1012","366/18614",1.16133953710011e-58,1.13153182231454e-55,5.07729495869032e-56,"TLR4/IL1B/IL6/CXCL8/IL10/TNF/LTA/EPO/CSF2/NLRP3/PYCARD/TH/SNCA/REN/IL12B/CSF1/NFKB1/MIR17/PTPN22/AXL/CXCL10/CCL2/TGFB1/TLR2/CD274/VCAM1/IDO1/SELE/CSF3/MIR21/CD68/TSPO/ADAM17/ADAMTS13/TREM2/FOS/IL18/IL1A/CD80/CXCL9/CCL3/CASP1/SOD2/CCR7/S100A8/S100A9/IL13/LBP/MPO/ASS1/PF4/NOD2/ACE/MAPK14/MIR20A/SELP/ELANE/TBXA2R/EDN1/RHOA/CCL5/SERPINE1/CASP8/CASP3/FOXP3/C4B/C5AR1/KLRK1/CCR5/CX3CR1/CX3CL1/TLR1/TLR6/CD86/BTK/SRC/AKT1/CNP/NOTCH1/IRF3/IL18BP/CXCL11/ABCC8/MIF/HAVCR2/MIR146A/THBD/PTGS2/HMGB1/CAMP/HAMP/PCSK1/LGALS9/OPRM1/PTGIR/PDCD1LG2/CD14/TLR9/GSTP1/NOS2/GCH1/B2M/APOB/MAP2K7/SLPI/IFNAR1/P2RX7/CXCL1/FCGR2B/AICDA/VIM/PELI1/NOCT/KMO/CTSG/IL37/IL1F10",117
"BP","GO:0070661","leukocyte proliferation","113/1012","348/18614",1.91023092507433e-57,1.59531571256922e-54,7.15833904554171e-55,"TLR4/IL1B/IL2/IL6/IL10/EPO/CSF2/PYCARD/CD19/CRP/LEP/CD28/IL12B/CSF1/KITLG/ADA/IFNA2/IFNA1/CTLA4/PTPN22/KIT/NF1/CTNNB1/IL4/CD274/VCAM1/IFNA21/TNFRSF13B/EBI3/IDO1/MIR21/IGF1/AHR/TREM2/JUNB/IL18/IL1A/FCGR3A/CD80/AIF1/CCL19/SFTPD/IFNB1/PTH/CD38/IL7/IL15/CD79A/IL13/IL5/CD40LG/CR2/CD74/TNFSF11/ACE/BST2/CCL5/PTPRC/CD70/CASP3/FOXP3/CX3CL1/HLA-A/HLA-DRB1/CD86/BTK/PTK2/IL21/CD22/ANXA1/IL2RA/IL33/IL23A/AGER/MIF/HAVCR2/ATM/DOCK8/ELF4/TYK2/TP53/IL27/HMGB1/CDKN1A/LGALS3/LGALS9/PDCD1LG2/IMPDH2/PRNP/SYK/TLR9/F2RL1/GSTP1/HHEX/CD81/IRF1/MSN/CD46/P2RX7/PLA2G2A/RPS6/IFNA17/FCGR2B/ICOSLG/CSF1R/RIPK3/TNFRSF9/BCL6/ERBB2/ITCH/PELI1/IL7R/PDE5A",113
"BP","GO:0002697","regulation of immune effector process","118/1012","384/18614",4.58985059547008e-57,3.35403332263976e-54,1.50498785314624e-54,"INS/ITGAM/TLR4/IL1B/IL2/IL6/IL10/TNF/LTA/NLRP3/PYCARD/LEP/CD28/IL12B/A2M/ARRB2/IFNL1/IFNG/IFNA2/PTPN22/KIT/FCGR1A/CFP/AXL/IL4/IL17A/TGFB1/RBP4/C3/MIR21/ICAM1/AHR/SIRT1/TREM2/JUNB/IL18/ANGPT1/CD80/MBL2/CCL19/IFNB1/IL13/IL5/LBP/APOA1/APOA2/NOD2/CD40LG/CR2/CD74/HLA-DRA/TRAF2/SERPING1/C4BPA/BST2/PTPRC/FOXP3/CFH/HLA-C/KLRC1/KLRC2/KLRK1/CD47/CX3CR1/RIGI/TLR3/TLR7/NOD1/HLA-A/HLA-DRB1/CD86/BTK/IL21/ITGB2/HPX/CD22/ANXA1/IL33/IL23A/AGER/MIF/LAMP1/TBX21/LAG3/HAVCR2/NCF1/FCN3/IL27/HMGB1/HLA-B/LGALS3/LGALS9/CGAS/SH2D1B/CLEC7A/SYK/TLR9/F2RL1/NOS2/GRN/STXBP2/UNC13D/B2M/CD81/CD46/P2RX7/FCGR2B/KLRB1/RIPK3/TWIST1/BCL6/NCR3/NCR1/CD1C/CD244/DHX58/FCN1/IL7R",118
"BP","GO:0032496","response to lipopolysaccharide","111/1012","345/18614",5.89703215482382e-56,3.83044999745556e-53,1.71876071693812e-53,"TLR4/IL1B/IL6/CXCL8/IL10/TNF/LTA/EPO/CSF2/NLRP3/PYCARD/TH/SNCA/REN/IL12B/CSF1/NFKB1/MIR17/PTPN22/AXL/CXCL10/CCL2/TGFB1/TLR2/CD274/VCAM1/IDO1/SELE/CSF3/MIR21/CD68/TSPO/ADAM17/ADAMTS13/TREM2/FOS/IL18/IL1A/CD80/CXCL9/CCL3/CASP1/SOD2/CCR7/S100A8/S100A9/IL13/LBP/MPO/ASS1/PF4/NOD2/ACE/MAPK14/MIR20A/SELP/ELANE/TBXA2R/EDN1/RHOA/CCL5/SERPINE1/CASP8/CASP3/FOXP3/KLRK1/CCR5/CX3CR1/CX3CL1/CD86/BTK/SRC/AKT1/CNP/NOTCH1/IRF3/IL18BP/CXCL11/ABCC8/MIF/HAVCR2/MIR146A/THBD/PTGS2/HMGB1/CAMP/HAMP/PCSK1/LGALS9/OPRM1/PTGIR/PDCD1LG2/CD14/TLR9/GSTP1/NOS2/GCH1/APOB/MAP2K7/SLPI/IFNAR1/P2RX7/CXCL1/AICDA/VIM/PELI1/NOCT/KMO/CTSG/IL37/IL1F10",111
"BP","GO:0002683","negative regulation of immune system process","131/1012","487/18614",7.98829012407372e-56,4.6699544065335e-53,2.09545463044123e-53,"INS/TLR4/IL2/IL10/TNF/PDCD1/IL12B/KITLG/A2M/ARRB2/ADA/DPP4/MIR17/IFNL1/IFNA2/CTLA4/PTPN22/NF1/CTNNB1/TYRO3/AXL/MERTK/IL4/CCL2/TGFB1/ADIPOQ/CD274/TNFRSF13B/ZFPM1/IDO1/MIR21/COL3A1/CD68/AHR/PIK3R1/PARP1/TREM2/PPARG/ANGPT1/CD80/CCL3/GPX1/FURIN/SFTPD/IFNB1/TRIM21/SARM1/IAPP/APOA1/APOA2/NOD2/CR2/CD74/MAPK14/MIR486-1/SERPING1/C4BPA/BST2/MIR34A/THY1/PTPRC/CASP3/FOXP3/RUNX1/CD200/KLRC1/KLRK1/CD47/CX3CR1/CX3CL1/CCL21/TLR3/TLR6/HLA-A/HLA-DRB1/CD86/BTK/NR1H2/FN1/SRC/AKT1/CD22/CXCL12/ANXA1/MMP12/IL2RA/IL33/MIF/TNFRSF11B/TBX21/LAG3/HAVCR2/MIR146A/ATM/IL17D/HMGB1/HLA-B/TIGIT/LGALS3/LGALS9/PDCD1LG2/PRNP/SYK/TLR9/F2RL1/MIR221/GRN/BANK1/IRF1/OAS1/CD46/CD200R1/PLA2G2A/FCGR2B/TWIST1/APCS/BCL6/SOCS1/ERBB2/ITCH/IFI16/HLA-DOB/PELI1/DHX58/CST7/ISG15/IL7R/CCL28/C5/CTSG/PDE5A",131
