"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04080","Neuroactive ligand-receptor interaction","2/4","367/8622",0.0102401282954406,0.106479968379605,0.0628764896721673,"5028/5029",2
"hsa05144","Malaria","1/4","50/8622",0.0229994412823559,0.106479968379605,0.0628764896721673,"7099",1
"hsa05134","Legionellosis","1/4","56/8622",0.0257324676187398,0.106479968379605,0.0628764896721673,"7099",1
"hsa05321","Inflammatory bowel disease","1/4","65/8622",0.0298212509481376,0.106479968379605,0.0628764896721673,"7099",1
"hsa05133","Pertussis","1/4","76/8622",0.0348011596732299,0.106479968379605,0.0628764896721673,"7099",1
"hsa05140","Leishmaniasis","1/4","77/8622",0.0352529260389339,0.106479968379605,0.0628764896721673,"7099",1
"hsa05412","Arrhythmogenic right ventricular cardiomyopathy","1/4","77/8622",0.0352529260389339,0.106479968379605,0.0628764896721673,"4000",1
"hsa04742","Taste transduction","1/4","86/8622",0.0393116904576,0.106479968379605,0.0628764896721673,"5028",1
"hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","1/4","89/8622",0.0406617616758146,0.106479968379605,0.0628764896721673,"7099",1
"hsa05410","Hypertrophic cardiomyopathy","1/4","90/8622",0.0411114690417227,0.106479968379605,0.0628764896721673,"4000",1
"hsa05323","Rheumatoid arthritis","1/4","93/8622",0.0424596425380095,0.106479968379605,0.0628764896721673,"7099",1
"hsa05414","Dilated cardiomyopathy","1/4","96/8622",0.0438063939104851,0.106479968379605,0.0628764896721673,"4000",1
"hsa04750","Inflammatory mediator regulation of TRP channels","1/4","98/8622",0.0447034385840768,0.106479968379605,0.0628764896721673,"5029",1
"hsa05142","Chagas disease","1/4","102/8622",0.0464956342854068,0.106479968379605,0.0628764896721673,"7099",1
"hsa05146","Amoebiasis","1/4","102/8622",0.0464956342854068,0.106479968379605,0.0628764896721673,"7099",1
"hsa04064","NF-kappa B signaling pathway","1/4","104/8622",0.0473907859056154,0.106479968379605,0.0628764896721673,"7099",1
"hsa04620","Toll-like receptor signaling pathway","1/4","108/8622",0.0491791981657742,0.106479968379605,0.0628764896721673,"7099",1
"hsa04066","HIF-1 signaling pathway","1/4","109/8622",0.049625907492452,0.106479968379605,0.0628764896721673,"7099",1
"hsa05145","Toxoplasmosis","1/4","111/8622",0.0505188539187366,0.106479968379605,0.0628764896721673,"7099",1
"hsa04611","Platelet activation","1/4","124/8622",0.0563076775356617,0.106479968379605,0.0628764896721673,"5028",1
"hsa04210","Apoptosis","1/4","136/8622",0.0616276751252716,0.106479968379605,0.0628764896721673,"4000",1
"hsa05135","Yersinia infection","1/4","137/8622",0.0620699906213238,0.106479968379605,0.0628764896721673,"7099",1
"hsa05162","Measles","1/4","138/8622",0.0625121497300468,0.106479968379605,0.0628764896721673,"7099",1
"hsa04936","Alcoholic liver disease","1/4","142/8622",0.0642792230289102,0.106479968379605,0.0628764896721673,"7099",1
"hsa04145","Phagosome","1/4","152/8622",0.0686859772198867,0.106479968379605,0.0628764896721673,"7099",1
"hsa04148","Efferocytosis","1/4","156/8622",0.0704443134604262,0.106479968379605,0.0628764896721673,"5029",1
"hsa04217","Necroptosis","1/4","159/8622",0.0717614307921243,0.106479968379605,0.0628764896721673,"7099",1
"hsa05161","Hepatitis B","1/4","162/8622",0.0730771479283483,0.106479968379605,0.0628764896721673,"7099",1
"hsa05164","Influenza A","1/4","171/8622",0.0770159080893608,0.106479968379605,0.0628764896721673,"7099",1
"hsa05152","Tuberculosis","1/4","180/8622",0.0809421022069843,0.106479968379605,0.0628764896721673,"7099",1
"hsa04621","NOD-like receptor signaling pathway","1/4","186/8622",0.0835525970304809,0.106479968379605,0.0628764896721673,"7099",1
"hsa04613","Neutrophil extracellular trap formation","1/4","191/8622",0.0857237579324794,0.106479968379605,0.0628764896721673,"7099",1
"hsa05130","Pathogenic Escherichia coli infection","1/4","198/8622",0.0887568993044523,0.106479968379605,0.0628764896721673,"7099",1
"hsa05205","Proteoglycans in cancer","1/4","205/8622",0.0917824875004568,0.106479968379605,0.0628764896721673,"7099",1
"hsa04015","Rap1 signaling pathway","1/4","210/8622",0.0939390044849098,0.106479968379605,0.0628764896721673,"5028",1
"hsa05170","Human immunodeficiency virus 1 infection","1/4","212/8622",0.0948005350702715,0.106479968379605,0.0628764896721673,"7099",1
"hsa05417","Lipid and atherosclerosis","1/4","215/8622",0.0960916787815947,0.106479968379605,0.0628764896721673,"7099",1
"hsa05171","Coronavirus disease - COVID-19","1/4","232/8622",0.10338208956149,0.111543833474239,0.0658667052607832,"7099",1
"hsa05131","Shigellosis","1/4","247/8622",0.10977810203833,0.113394018705919,0.0669592408276289,"7099",1
"hsa05132","Salmonella infection","1/4","249/8622",0.110628310932604,0.113394018705919,0.0669592408276289,"7099",1
"hsa04151","PI3K-Akt signaling pathway","1/4","359/8622",0.156459764166811,0.156459764166811,0.0923895911639703,"7099",1
